Country,M L.E. In Y,F L.E. In Y
Afghanistan,59.2,61.6
Albania,75.4,80.4
Algeria,72.5,77.2
American Samoa,..,..
Andorra,..,..
Angola,50.8,53.8
Antigua and Barbuda,73.5,78.5
Argentina,72.4,80.1
Armenia,70.9,78.6
Aruba,73.1,77.9
Australia,80.3,84.3
Austria,78.8,84
Azerbaijan,67.7,74
"Bahamas, The",72.3,78.3
Bahrain,75.8,77.6
Bangladesh,70.4,72.9
Barbados,73.2,78
Belarus,68,78.2
Belgium,78.1,83.2
Belize,67.4,72.9
Benin,58.1,61
Bermuda,77.1,84.7
Bhutan,69.2,69.7
Bolivia,65.9,70.9
Bosnia and Herzegovina,74,79
Botswana,62.1,66.8
Brazil,70.7,78.3
Brunei Darussalam,77,80.7
Bulgaria,71.7,79.3
Burkina Faso,57.3,59.9
Burundi,54.8,58.7
Cabo Verde,71.4,75
Cambodia,66.2,70.3
Cameroon,54.4,56.7
Canada,80,84
Cayman Islands,..,..
Central African Republic,48.8,52.6
Chad,50.5,52.7
Channel Islands,78.7,82.6
Chile,78.6,84.5
China,74.3,77.3
"Hong Kong SAR, China",81.2,86.9
"Macao SAR, China",78.4,82.8
Colombia,70.5,77.7
Comoros,61.6,65
"Congo, Dem. Rep.",57.2,60.1
"Congo, Rep.",60.8,63.9
Costa Rica,77,81.9
Cote d'Ivoire,50.7,52.4
Croatia,74.5,80.3
Cuba,77.4,81.5
Curacao,74.8,81
Cyprus,78,82.4
Czech Republic,75.3,81.4
Denmark,78.5,82.7
Djibouti,60.4,63.7
Dominica,..,..
Dominican Republic,70.4,76.7
Ecuador,73.2,78.7
"Egypt, Arab Rep.",69,73.4
El Salvador,68.3,77.4
Equatorial Guinea,56.3,59
Eritrea,61.6,65.9
Estonia,72.8,81.9
Ethiopia,62.2,66
Faroe Islands,79.4,84.1
Fiji,67.2,73.2
Finland,78.3,84.1
France,79.3,85.6
French Polynesia,74.3,78.9
Gabon,63.8,65
"Gambia, The",58.9,61.6
Georgia,71.2,78.4
Germany,78.6,83.2
Ghana,60.4,62.3
Greece,78.7,84
Greenland,69.1,73.7
Grenada,71,75.9
Guam,76.6,81.8
Guatemala,68.3,75.3
Guinea,58.3,59.2
Guinea-Bissau,53.4,57
Guyana,64.2,68.8
Haiti,60.7,64.9
Honduras,70.7,75.7
Hungary,72.8,79.1
Iceland,80.5,83.7
India,66.6,69.5
Indonesia,66.9,71
"Iran, Islamic Rep.",74.3,76.5
Iraq,67.2,71.7
Ireland,79.3,83.1
Isle of Man,..,..
Israel,80.3,84.1
Italy,80.3,85.2
Jamaica,73.3,78.1
Japan,80.5,86.8
Jordan,72.4,75.8
Kazakhstan,67.1,75.9
Kenya,59.9,63.4
Kiribati,62.8,69.2
"Korea, Dem. People's Rep.",66.7,73.7
"Korea, Rep.",79,85.5
Kosovo,69,73.3
Kuwait,73.5,75.8
Kyrgyz Republic,66.5,74.5
Lao PDR,64.8,67.5
Latvia,69.7,78.9
Lebanon,77.6,81.3
Lesotho,49.6,49.8
Liberia,59.9,61.8
Libya,68.9,74.6
Liechtenstein,80.7,83.9
Lithuania,68.6,79.6
Luxembourg,80.5,84
"Macedonia, FYR",73.1,77.7
Madagascar,63.6,66.6
Malawi,61.7,63.7
Malaysia,72.4,77.1
Maldives,75.8,77.8
Mali,58.2,57.8
Malta,79.6,84
Marshall Islands,..,..
Mauritania,61.6,64.5
Mauritius,71,77.6
Mexico,74.4,79.2
"Micronesia, Fed. Sts.",68.1,70.1
Moldova,67.4,75.7
Monaco,..,..
Mongolia,65.3,73.9
Montenegro,74.1,78.4
Morocco,73,75.1
Mozambique,53.6,56.5
Myanmar,63.9,68
Namibia,62.1,67.3
Nepal,68.2,71.1
Netherlands,79.5,83.2
New Caledonia,74.5,80.8
New Zealand,79.6,83.3
Nicaragua,71.9,77.9
Niger,60.6,62.4
Nigeria,52.4,53.1
Northern Mariana Islands,..,..
Norway,79.8,83.8
Oman,75.1,79.2
Pakistan,65.3,67.2
Palau,..,..
Panama,74.6,80.7
Papua New Guinea,60.5,64.8
Paraguay,70.8,75.1
Peru,71.9,77.2
Philippines,64.9,71.8
Poland,73.4,81.3
Portugal,77.6,84
Puerto Rico,75.5,83.4
Qatar,77.3,79.9
Romania,71.6,78.7
Russian Federation,65,76
Rwanda,61.1,67
Samoa,70.4,76.8
San Marino,..,..
Sao Tome and Principe,64.4,68.4
Saudi Arabia,73,75.7
Senegal,64.5,68.3
Serbia,72.9,78.3
Seychelles,68.4,78.3
Sierra Leone,50.4,51.4
Singapore,80.5,84.9
Sint Maarten (Dutch part),69.2,77.1
Slovak Republic,73.3,80.3
Slovenia,77.3,83.9
Solomon Islands,66.5,69.4
Somalia,53.8,57
South Africa,55.2,59.3
South Sudan,54.7,56.7
Spain,80.2,86.1
Sri Lanka,71.5,78.2
St. Kitts and Nevis,..,..
St. Lucia,72.4,77.8
St. Martin (French part),76.2,82.6
St. Vincent and the Grenadines,70.9,75.1
Sudan,62,65
Suriname,68,74.4
Swaziland,49.6,48.2
Sweden,80.2,83.8
Switzerland,80.8,85
Syrian Arab Republic,64,76.5
Tajikistan,66.2,73.2
Tanzania,63.5,66.4
Thailand,71.1,77.9
Timor-Leste,66.5,70.1
Togo,58.9,60.4
Tonga,69.9,75.8
Trinidad and Tobago,67,74
Tunisia,71.9,76.5
Turkey,72,78.5
Turkmenistan,61.5,69.9
Turks and Caicos Islands,..,..
Tuvalu,..,..
Uganda,56.7,60.3
Ukraine,66.3,76.4
United Arab Emirates,76.3,78.5
United Kingdom,79.3,82.9
United States,76.6,81.4
Uruguay,73.5,80.6
Uzbekistan,65,71.8
Vanuatu,69.9,74
"Venezuela, RB",70.2,78.5
Vietnam,71,80.5
Virgin Islands (U.S.),76.7,83
West Bank and Gaza,71,74.9
"Yemen, Rep.",62.5,65.2
Zambia,58.2,62
Zimbabwe,56.2,58.9
World,69.4,73.6
East Asia & Pacific,72.9,77
Europe & Central Asia,73.6,80.4
Latin America & Caribbean,71.8,78.3
Middle East & North Africa,71.1,74.8
North America,76.9,81.7
South Asia,66.8,69.6
Sub-Saharan Africa,57.3,59.9